,id,text,label,dataset
16083,16453,rt [USER]: s/o to them side hos that know they the side hos we need more of ya!,0,davidson2017
3955,4072,[USER] [USER] but s he got a pussy now which makes him a her. and she's bad. so..,0,davidson2017
23252,23736,you been the side hoe 😂😂😂💀💀👊,0,davidson2017
18346,18754,rt [USER]: all you hoes wake up,0,davidson2017
17233,17625,rt [USER] this whole week was trash,0,davidson2017
21004,21455,soap. i wish some pussy tho rt [USER]: what does your beard smell like?,0,davidson2017
11793,12092,"in case you forgot hoe i been up since 4:18 on the dot made 100,000 dollars at work and still haven't slept.",0,davidson2017
17974,18378,rt [USER]: austin is so cute like look at him all excited because he got oreos [URL],0,davidson2017
15366,15729,rt [USER]: 😂😂 hoes be in everybody clothes and got the nerve to take a picture man that shit crazy !,0,davidson2017
10926,11209,i swear ta god nigga all deses hoes want is a yrn ....,0,davidson2017
3145,3225,[USER] lol true i just want fried oreos,0,davidson2017
610,620,"""you got hella hoes"" [URL]",0,davidson2017
4531,4663,[USER] say how you do that i got this lil bitch who ain't getting the memo,0,davidson2017
1295,1323,“[USER]: “[USER]: bout to get a breasts reduction these bitches be in the way😒”😂😂😂”so serious😩😩😩,0,davidson2017
5389,5546,[USER] pussy,0,davidson2017
7485,7698,abed and i are gonna retire in florida and get all the bad bitches in the nursing home.,0,davidson2017
22830,23309,"whoever came up with that "" i don't have no ex's "" sayin must've been a hoe",0,davidson2017
8263,8493,but who is me 💁to talk 🔊 about the next bitch flexing 💪 when☝️ i done don it before 🙌👍🙏,0,davidson2017
24734,25247,yall pussies i swur,0,davidson2017
13008,13327,"my cheapest, broke ass meal? i had some egg noodles but we ain't have no buter, no pepper, nothing. i put syrup on them bitches.",0,davidson2017
21610,22073,the republican teabaggers hate this but screw em. [URL],0,davidson2017
4864,5005,[USER] why werent you so gung ho when you got drafted instead of shitting yourself? you seem like another repcon chicken hawk..,0,davidson2017
17090,17480,"rt [USER]: god bless those delusional bitches still trying to keep ""duck face"" alive.",0,davidson2017
20712,21161,"she actin like a hoe i dont want her, id rather just smoke my marijuana",0,davidson2017
23048,23531,y'all sleep on shy glizzy 😴 young jefe😈,0,davidson2017
15136,15494,rt [USER]: came to training camp today to find charlie batch asleep on the curb...,0,davidson2017
6456,6639,[USER] idgaf what your name is scary ass give me a real address hoe,0,davidson2017
1400,1429,"“[USER]: i was told never fold & never sell my sole""they should have told yu stay in school ! *soul” autocorrect hoed me",0,davidson2017
5834,6000,[USER] well im sure im not fully retarded i must be stupid:(,0,davidson2017
12809,13127,me calling bout a nigga 😴 shit for the birds. & then a nigga that ain't fucking me 😂 i do not fucking care,0,davidson2017
18124,18529,"rt [USER]: dad: why are your eyes so red?son: i smoked weed, dad.dad: don't lie to me, you were crying because you are a faggot.",0,davidson2017
4533,4665,[USER] ugh..and lemme guess they have yellow cake too? heard this story before..,0,davidson2017
117,118,"""[USER]: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" lol",0,davidson2017
24489,24996,thank god fob didnt come back doing some shitty arena tour. iwaited5yearsforfobandi all got was this shitty arena sykeeee,0,davidson2017
7285,7493,[USER] [USER] yankee? 😒,0,davidson2017
456,463,"""he married to a white woman... lucky sum-bitch"" - uncle ruckus",0,davidson2017
18544,18953,"rt [USER]: also as part of my release day gift (yes, we get those!) this adorable bumblebee bear! montlake [URL]",0,davidson2017
1629,1664,“[USER]: i'm about too put sooooo much nut in my fucking mouth and gts frfr 😂😂😂💀” bitch yu nasty,0,davidson2017
9334,9591,fucking pussy bruh lol,0,davidson2017
11258,11545,i'm dressing up as an albino one day and scaring the shit out of amaris' mom,0,davidson2017
675,685,bitchslap thursdays 2nite pure passion doors open @ 10.... but we watching the game in that bitch too… [URL],0,davidson2017
14905,15261,rt [USER]: .[USER] is the voice behind [USER]’s “mustard on the beat hoe,0,davidson2017
14712,15064,rt [USER]: bet her pussy smell like dried up oysters,0,davidson2017
12424,12736,like bitch you're a man. that means you don't show fear or pain. you be strong when others can't.,0,davidson2017
6704,6892,[USER] that mindless twat is shitting on hiphop hahahaha,0,davidson2017
7511,7725,after you get good pussy you be feelin like you just found the last dragon ball..,0,davidson2017
24149,24651,"like if you are going to be a sensitive lil bitch, do not talk to me.",0,davidson2017
23912,24409,"her ""friends"" said i was shallow, conceited and controlling. i grabbed her wrist and said ""never talk to those fat jealous bitches again!""",0,davidson2017
10220,10497,i don't know what hoe activities consist of bc i don't partake in them. shit it's so many i damn near can't tweet without being a hoe,0,davidson2017
22238,22708,too many bitches got rabies and i hate a ho hoppin' woman stank pussy-poppin' woman,0,davidson2017
24051,24548,if u eat fried eggs and leave the yolk entirely yellow ur a disgrace and also nasty,0,davidson2017
113,114,"""[USER]: i hate a ""i'm pregnant"" type of bitch.""",0,davidson2017
22566,23042,"well now that i'm basically gone full retard, lets get blasted",0,davidson2017
15700,16068,rt [USER]: know the bitch before you call yourself lovin it niggas prolly been fuckin it,0,davidson2017
17474,17871,rt [USER]: breaking: yankees acquire lebron james in a 3 team deal per sources [URL],0,davidson2017
945,965,"👉 rt [USER]: nigga was smashing his hoe, had his hoe paying for a condo and he still with her 😂😂😂😂 yep fucboy",0,davidson2017
16852,17237,rt [USER]: yes mimi bitch yo dumb ass got played,0,davidson2017
13634,13969,one hoe be fine as fuck and the other one be ugly than a bitch,0,davidson2017
974,996,😂😂 my stomach in pain like a mufucka rt [USER] this the nigga that's rating bitches 3/10? [URL],0,davidson2017
8734,8978,"difference between ""niggers"" and ""niggas"". tupac my og 💯 [URL]",0,davidson2017
11819,12120,innovative ideas about an unresolved issue relating to your ho... more for libra [URL],0,davidson2017
16061,16431,rt [USER]: tacos over hoes.,0,davidson2017
15635,16001,rt [USER]: still trying to hit this hoe...... 💅💅💅💅 [URL],0,davidson2017
7393,7604,[USER] i love white noise and love delillo. i’ve resisted reading house of leaves for years. it mocks me on my shelf.,0,davidson2017
24135,24637,"kyle im hungry, quit talking and let's go hoe",0,davidson2017
12583,12896,lol jk i changed my number on them ho*s,0,davidson2017
18078,18482,rt [USER]: i love being loyal to one person ☝️fuck having hoes 👫👏😌🙈,0,davidson2017
11051,11336,i was grown by the time i turned 16 wit only my grandma nigguh,0,davidson2017
12215,12526,"keep it real, keep it real, keep it real, keep it real. nigga say he fucked my bitch and he couldn't wait to squeal",0,davidson2017
15047,15404,"rt [USER]: niggas be like ""i got some hoes on the flo"" .... 😷 [URL]",0,davidson2017
14830,15185,rt [USER]: i will not buy your bitch no red bottoms.... so don't even worry bout that cuzzo..,0,davidson2017
20727,21176,"she get a bunch of money, spend it all on drugs, mobbin with her bitches, never fall in love 💀💨💋",0,davidson2017
14922,15278,"rt [USER]: my boy is obviously gonna be slaying all the pussy tonight, dressed as a ninja turtle [URL]",0,davidson2017
19334,19763,rt [USER]: chantel isn't a side hoe bc apparently she's lesbian. im done with life. all these months hating her for no reason.,0,davidson2017
15879,16248,rt [USER]: not scared to pepper spray a bitch  *hand gently resting on fanny pack*,0,davidson2017
19983,20425,"rt [USER]: ""bros before hoes, except chicks with no clothes"" - everywhere",0,davidson2017
21857,22324,they call me chief weak bitch,0,davidson2017
4673,4811,[USER] i'm redneck crazy,0,davidson2017
14000,14340,"rt [USER]: [USER] no prob! def a good early set energy tool! if you want to tune in, [URL] in less than an ho…",0,davidson2017
22801,23280,white trash bash 😜🍻 [URL],0,davidson2017
14271,14613,rt [USER] some of y'all hoes thighs be so thick and can't even walk + yankee food,0,davidson2017
23063,23546,ya bitch wnna ride with me,0,davidson2017
2698,2762,"[USER] atl, bvb, sws, ptv, the relapse symphony, set it off, farewell, my love, mayday parade, fob, paramore, etc",0,davidson2017
20668,21117,seeing elder queer couples marry really is emotional. they get to live their final years with equality and with dignity.,0,davidson2017
18088,18492,rt [USER]: when you and your boys discover a hoe [URL],0,davidson2017
7496,7709,"actual quote from local cop - ""there are too many pussies in this town"".",0,davidson2017
7721,7939,and i've had enough. unfollowing dat ass bitch,0,davidson2017
10865,11147,i say fuck them other niggas bitch im all you need 👊,0,davidson2017
629,639,"""but pussy is the root of all drama an attribute put up in they head by they mama.""",0,davidson2017
21313,21774,"tell your bae ""ho tre testicoli"" it means ""i love your eyes"" in italian",0,davidson2017
20602,21050,salute a real nicca [URL],0,davidson2017
6248,6428,[USER] pussy put yo ass to sleep now i'm calling you nyquil,0,davidson2017
9382,9640,gator's bitches best be usin jimmy's !,0,davidson2017
9630,9891,hahahaa so people can't parent differently...? twitter is fuckin trash ahahahha [URL],0,davidson2017
11570,11864,"if she makes a good sandwhich and she give a good blowy, wife dat hoe up. that way you can eat while she eatting",0,davidson2017
2125,2168,' when it comes to pussy i have no fucking friends' - hostel iii is really what we're watching right now,0,davidson2017
21848,22315,"these side bitches will wait til they know u wit ya lady to text u ""hey boo"" bitch gtfoh",0,davidson2017
1190,1216,“[USER]: if you have a different dude every other week you might be a hoe... js”no your not don't listen to him ladies do u,0,davidson2017
9566,9826,gov. rick scott kicks charlie crist’s ass [URL] [URL],0,davidson2017
12444,12756,like these nigguhs pussy there's no other thesis,0,davidson2017
1737,1772,“[USER]: “[USER]: stop being such a bitch””,0,davidson2017
11781,12080,ima side bitch from time to time and i stay in my place,0,davidson2017
21296,21757,"teacher: you had all weekend to do you homework! me: uhm, sorry bitch but i have a life..",0,davidson2017
4513,4645,[USER] my nigga know he a bitch,0,davidson2017
21820,22286,these kids man real life kids not even over 18 n bucking bitch sit yo stupid ass down,0,davidson2017
2436,2487,"[USER] right , come then what ? wait another 9 months ? naaaawwwww ✋ i could be pimpin these hoes lol",0,davidson2017
7061,7259,[USER] patrick you ain't nottin but a hood nigga top bitch nigga,0,davidson2017
7557,7771,alibaba / jack ma: gotta love a guy who beat meg whitman's albino ass back to the us. freakin' commie genius.,0,davidson2017
3819,3929,[USER] lol i'm not you just can't be sad about things you can't control. but when you walk that stage my nigglet i'll be happy :),0,davidson2017
8214,8441,bruised ankle is a bitch,0,davidson2017
3018,3094,[USER] [USER] [USER] shut up fag,1,davidson2017
2582,2639,[USER] [USER] bitch my mom didn't call you,0,davidson2017
5419,5577,[USER] what that hoe was like,0,davidson2017
20364,20810,"rt [USER]: to that cunt who said she won't rt ppl who use foul language because it lacks intelligence... bitch, let me introduce y…",0,davidson2017
18590,19000,"rt [USER]: does being on my dick make any of yall hoes feel relevant ? if so , re evaluate your whole life .. thanks",0,davidson2017
16338,16711,rt [USER]: overtime bitches.,0,davidson2017
2287,2332,":/ well that sucks that kobe is out now... he's still filthy, you can hate him all u want but if you dont have respect for him, ur retarded",0,davidson2017
23257,23741,you bitch like to text emojis,0,davidson2017
296,300,"""[USER]: ya nigs out there still saying y'all don't eat butt?!"" with a straight face!",0,davidson2017
866,885,"porn,android,i phone,i pad,sex,xxx, | close up | squirting pussy and fingered asshole [URL]",0,davidson2017
1997,2037,& these bitches bound to get hurt cause a lot of these niggas be playing,0,davidson2017
2392,2441,[USER] bitch who do u love,0,davidson2017
20384,20830,rt [USER]: 😩 dawg! “[USER]: pet peeve is finding out a cute guy has hoes. i automatically lose interest. i don't compete.”,0,davidson2017
6302,6483,[USER] can a quote this and tag a bitch,0,davidson2017
14843,15199,"rt [USER]: i'm finally ready to mass market my skidmark-resistant tighty whities, but apparently ""uncrustables"" is already taken. fu…",0,davidson2017
3956,4073,[USER]: atlanta niggas* [USER]: bay niggas gotta chill. rt [USER]: i'm shitting on you hoes. [URL],0,davidson2017
18746,19161,"rt [USER]: ""i don't send nudes"" -- a bitch wit trash nudes",0,davidson2017
9805,10072,hey ladies can i ask you a question ? why do yall niggas be so fkn lame ! it be the baddest bitches wit the lamest niggas,0,davidson2017
18911,19330,"rt [USER]: niggas gon talk, bitches gon hate.",0,davidson2017
20251,20696,rt [USER]: charles manson's fiancee will have a difficult time planning their honeymoon. charlie can't surf.,0,davidson2017
8088,8313,bitches on me bout da lil flexin shit on snapchat 💰💰💰💰💰😂 bitch please,0,davidson2017
5952,6123,[USER] bitch no ✋😂,0,davidson2017
8626,8863,damn hoe.. you so ugly even hello kitty said goodbye.,1,davidson2017
13506,13839,okc nigguh,0,davidson2017
22376,22850,"uh cody called me a punk ass bitch and i said, i think you meant to say boss ass bitch but i'll let it go ctfu 😂",0,davidson2017
20397,20843,rt [USER]: who's to blame for the yankees underperformance this year? the umps? management? the ebola outbreak?...how 'bout the player…,0,davidson2017
22736,23214,"when the day goes bad just tell yourself ""were the pussy at!"" 😂",0,davidson2017
14816,15171,rt [USER]: idk why skinny bitches think they got ass cuh,0,davidson2017
8497,8733,cocoa puffs time bitch!!!!,0,davidson2017
12084,12393,johnathan martin is a straight up pussy. man up,0,davidson2017
12779,13096,"maury is funny sometimes, but the ratchet hoes on there need to get knocked the fuck out!",0,davidson2017
4590,4726,[USER] no reason to hit with you when i know you pussy i won't get no cool points,0,davidson2017
14295,14637,rt [USER]: [USER] when i'm 18 them bitches getting erased 🙌,0,davidson2017
15906,16275,rt [USER]: rt “[USER]: 😴😴😴 lmfaooo girl fights ghetto ratchet ; bitch got pushed and played sleep. 😩😂😭👏😭😂 [URL],0,davidson2017
280,284,"""[USER]: i'm making marack my girlfriend ."" [USER] aye b you pullin hoes just like o taught you",0,davidson2017
21372,21834,that bitch is goin off off off!!!,0,davidson2017
4514,4646,[USER] i agree my fellow cracker.,1,davidson2017
4228,4353,[USER]  yeah man. he even scare me and i is a nigger,0,davidson2017
3003,3078,[USER] how about you wash my butthole out with your tongue you little faggot,1,davidson2017
612,622,"""you look cute today :)"".. ""really?!"" helll no, swerve hoe!",0,davidson2017
6644,6830,[USER] wtf is ur tumblr bitch,0,davidson2017
15855,16224,rt [USER]: money over the best pussy,0,davidson2017
14352,14695,rt [USER]: lil hoe [URL],0,davidson2017
4431,4562,[USER] taking off like a bitch bra,0,davidson2017
14772,15126,rt [USER]: found some more of my original yellow bracelets and the first person i thought of was [USER],0,davidson2017
12422,12734,like bitch that aint even attractive smh,0,davidson2017
13521,13854,"ocean drive 🌊 then i gave it a pill i think ""[USER]: i met that pussy on ocean drive,”",0,davidson2017
3544,3638,[USER] you better feel the love... i don't even show these hoes love lol,0,davidson2017
5167,5319,[USER] *thought retard,0,davidson2017
7248,7455,[USER] thats right niggah netherlands!!!,0,davidson2017
15875,16244,rt [USER]: lorde 17 with a grammy & bitches 14 with a std 😩,0,davidson2017
2767,2835,[USER] [USER] me either but if the bitch like put on that beyoncé nigga ain't gone hesitate,0,davidson2017
14476,14823,"rt [USER]: “daddy, batman’s parents are dead.”  “yup.”  “and superman’s.”  “yup.”  “what am i going to be when you die?”  “sad ho…",0,davidson2017
12864,13183,"mitt romney gone take away weave if he become president, hoes gone be walkin around looking like lil bill & calliou...",0,davidson2017
3618,3716,[USER] [USER] suck a dick hoe,0,davidson2017
14944,15300,"rt [USER]: aw damn, haven't hug a bitch in a while.",0,davidson2017
24302,24806,o unpunished. this has been the view for many thousands of years in civilised and uncivilised society.,0,davidson2017
21202,21662,stupid bitches.,0,davidson2017
15258,15617,rt [USER]: rt if u remember when steve from 'blue clues' left us with that other bitch ass nigga joe [URL],0,davidson2017
24185,24689,lol they replaced the big yellow chicken with homer,0,davidson2017
13221,13547,never did like that bitch,0,davidson2017
22557,23033,well jenna's getting a yellow lab so i know where ill be whenever i'm home,0,davidson2017
21118,21572,southwest airlines is like driving in a mini van with your white trash cousins who love to huff paint thinner before before working.,1,davidson2017
9620,9881,haha a private industry birthday is needed to all who have celebrated our bday the past month i can't wait for ours! i see you nig**s lol 😁,0,davidson2017
12555,12867,lmfao right!..rt [USER]: you knew you was sidechick. stop hating hoe.,0,davidson2017
12024,12329,jj watt was on his grown man shit all night.. now let's get it yankees,0,davidson2017
22234,22704,too bad brandon lavergne isn't gonna have that vein spiked at angola. mickey,0,davidson2017
24330,24835,one time for the illest bitch alive,0,davidson2017
19729,20167,rt [USER]: whore slut cunt bitch nigga,1,davidson2017
13485,13816,now my side bitch my main bitch bc my main hoe ain't feeling me no mo. no mo.,0,davidson2017
2803,2871,[USER] negro please...i got a job now lmao,0,davidson2017
20424,20870,"rt [USER]: if a bitch says ""eeeeeee"" she a hoe",0,davidson2017
3965,4083,[USER] what did i prove for you? that you're blissfully ignorant? group thinker? political chump and race traitor?,0,davidson2017
20272,20717,rt [USER]: my body thought we'd get an extra hr sleep but my brain decided to wake up 2 hrs earlier.  my brains a bitch.,0,davidson2017
19341,19770,rt [USER]: “[USER]: guys with colored eyes 😍” [URL],0,davidson2017
17133,17524,rt [USER]: when i feel like he entertaining these hoes i just fall back even harder than before 💯,0,davidson2017
1231,1258,“[USER]: 😍 [URL] now this hoe bad,0,davidson2017
1016,1039,😉👍 yep dont try me bitch bitch mode test me truth trust [URL],0,davidson2017
10811,11092,i ont like no dramatic bitch so i just separate myself n shit,0,davidson2017
15769,16137,rt [USER]: all these girls saying nobody can put em up with em. dont no nigga want a bitch as a girlfriend fix that shit,0,davidson2017
18435,18844,rt [USER]: rich homie and bird man gone be at mansion élan tonight 👀,0,davidson2017
18963,19382,rt [USER]: flappy bird make me just smash my phone into my face,0,davidson2017
14469,14815,rt [USER]: females now a days don't like to do anything freaky because . you niggas gossip about it like bitches .,0,davidson2017
13932,14272,pumpkin spice marlboro's for da hoes,0,davidson2017
3604,3700,[USER] <<best name on twitter ever!! aka; jewbacca<<second best name on twitter!!,0,davidson2017
15642,16008,rt [USER]: that nigger made the shit out of my coffee.,1,davidson2017
7085,7283,"[USER] [USER] so they could complain about racial profiling i'm sure, bloody twats",0,davidson2017
4957,5103,[USER] all the thirsty hoes. lol,0,davidson2017
7071,7269,[USER] i am funny bitch,0,davidson2017
613,623,"""you look like little birds help you get dressed in the morning""",0,davidson2017
22923,23403,why you worried bout that other hoe? cuz that other hoe aint worried bout another hoe,0,davidson2017
8926,9173,eat my dick bitch,0,davidson2017
16048,16418,"rt [USER]: thats when you say ""this bitch aint got no job"" ml rt",0,davidson2017
18697,19112,rt [USER]: i'll naturally slap the shit outa oomf that bitch talk to much.,0,davidson2017
20917,21368,smurf a real cat bitch,0,davidson2017
12256,12567,know you don't like me cause you're bitch most likely does,0,davidson2017
5877,6045,"[USER] almost mad a nigguh catch some stacks at lunch, close one",0,davidson2017
63,63,"""[USER]: -simplyaddictedtoguys [URL] woof woof hot scally lad",0,davidson2017
8518,8754,"congrats on being a cunt, and doing your make up worse than a 12 year old. ugly bitch",0,davidson2017
7343,7553,[USER] i was taking a picture and that bitch scared me lmao,0,davidson2017
9053,9306,fam. “[USER]: telling bitches you're sterile so you can hit em raw >>>>>>”,0,davidson2017
4637,4774,[USER] thats what i thought pussy..,0,davidson2017
2145,2190,*teachers call you a pussy for not doing senior skip day*,0,davidson2017
7499,7713,add my snapchat lil bitch: trevaughn3,0,davidson2017
11200,11487,i'm a big bitch and 4 is the goat rt [USER]: i'm too lazy for 4.,0,davidson2017
22221,22691,"told that hoe she special, like the mcrib© at mcdonalds..",0,davidson2017
